symbol,macro,industry,basic
LT,Construction,Construction,Civil Construction
LTELEVATOR,Capital Goods,Industrial Manufacturing,Industrial Products
LTF,Financial Services,Finance,Non Banking Financial Company (NBFC)
LTFOODS,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
LTM,Information Technology,IT - Software,Computers - Software & Consulting
LTTS,Information Technology,IT - Services,IT Enabled Services
LUDLOWJUT,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
LUMAXIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUMAXTECH,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUPIN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LUXIND,Textiles,Textiles & Apparels,Garments & Apparels
LUXURY,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
LWSKNIT,Services,Commercial Services & Supplies,Trading & Distributors
LXCHEM,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
LYKALABS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LYKISLTD,Services,Commercial Services & Supplies,Trading & Distributors
LYONSCO,Financial Services,Finance,Non Banking Financial Company (NBFC)
M&M,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
M&MFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MAANALU,Metals & Mining,Non - Ferrous Metals,Aluminium
MACH,Consumer Services,Leisure Services,Hotels & Resorts
MACHLTD,Consumer Services,Leisure Services,"Tour, Travel Related Services"
MACIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
MACPLASQ,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MADALA,Realty,Realty,Real Estate related services
MADHAV,Consumer Durables,Consumer Durables,Granites & Marbles
MADHAVIPL,Construction,Construction,Civil Construction
MADHUCON,Construction,Construction,Civil Construction
MADHUDIN,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
MADRASFERT,Chemicals,Fertilizers & Agrochemicals,Fertilizers
MAFATIND,Textiles,Textiles & Apparels,Other Textile Products
MAFIA,Consumer Services,Retailing,Speciality Retail
MAGADSUGAR,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
MAGANTR,Services,Commercial Services & Supplies,Diversified Commercial Services
MAGENTA,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
MAGNAELQ,Capital Goods,Industrial Products,Castings & Forgings
MAGNUM,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
MAGNUS,Capital Goods,Electrical Equipment,Other Electrical Equipment
MAHABANK,Financial Services,Banks,Public Sector Bank
MAHACORP,Services,Commercial Services & Supplies,Trading & Distributors
MAHALIFE,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
MAHALXSE,Capital Goods,Industrial Products,Iron & Steel Products
MAHAPEXLTD,Financial Services,Finance,Other Financial Services
MAHASTEEL,Capital Goods,Industrial Products,Iron & Steel Products
MAHAVEER,Information Technology,IT - Software,Computers - Software & Consulting
MAHEPC,Capital Goods,Industrial Manufacturing,Industrial Products
MAHIP,Capital Goods,Industrial Products,Packaging
MAHLIFE,Realty,Realty,"Residential, Commercial Projects"
MAHLOG,Services,Transport Services,Logistics Solution Provider
MAHSCOOTER,Financial Services,Finance,Investment Company
MAHSEAMLES,Capital Goods,Industrial Products,Iron & Steel Products
MAIDEN,Capital Goods,Industrial Products,Iron & Steel Products
MAINFRA,Construction,Construction,Civil Construction
MAITHANALL,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
MAITRI,Metals & Mining,Non - Ferrous Metals,Aluminium
MAJESAUT,Services,Commercial Services & Supplies,Diversified Commercial Services
MAKERSL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MAL,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MALLCOM,Capital Goods,Industrial Products,Other Industrial Products
MALPANI,Capital Goods,Industrial Products,Plastic Products - Industrial
MALTLAND,Fast Moving Consumer Goods,Food Products,Other Food Products
MALUPAPER,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
MAMATA,Capital Goods,Industrial Manufacturing,Industrial Products
MANAKALUCO,Metals & Mining,Non - Ferrous Metals,Aluminium
MANAKCOAT,Capital Goods,Industrial Products,Iron & Steel Products
MANAKSIA,Capital Goods,Industrial Products,Iron & Steel Products
MANAKSTEEL,Metals & Mining,Ferrous Metals,Iron & Steel
MANALIPETC,Chemicals,Chemicals & Petrochemicals,Petrochemicals
MANAPPURAM,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANAS,Realty,Realty,"Residential, Commercial Projects"
MANBA,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANBRO,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MANCREDIT,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANGALAM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MANGALCOMP,Services,Commercial Services & Supplies,Diversified Commercial Services
MANGIND,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANGLAM,Financial Services,Finance,Other Financial Services
MANGLMCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
MANINDS,Capital Goods,Industrial Products,Iron & Steel Products
MANINFRA,Realty,Realty,"Residential, Commercial Projects"
MANIVENI,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MANKIND,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MANOJJEWEL,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MANOMAY,Textiles,Textiles & Apparels,Other Textile Products
MANORAMA,Fast Moving Consumer Goods,Food Products,Other Food Products
MANORG,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
MANRAJH,Financial Services,Finance,Housing Finance Company
MANSIFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANTRA,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANUGRAPH,Capital Goods,Industrial Manufacturing,Industrial Products
MANYAVAR,Consumer Services,Retailing,Speciality Retail
MAPMYINDIA,Information Technology,IT - Software,Software Products
MAPROIN,Construction,Construction,Civil Construction
MARALOVER,Textiles,Textiles & Apparels,Other Textile Products
MARATHON,Realty,Realty,"Residential, Commercial Projects"
MARBLE,Construction Materials,Other Construction Materials,Other Construction Materials
MARBU,Realty,Realty,"Residential, Commercial Projects"
MARCLOIRE,Consumer Durables,Consumer Durables,Footwear
MARGOFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MARICO,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
MARIS,Textiles,Textiles & Apparels,Other Textile Products
MARKOLINES,Construction,Construction,Civil Construction
MARKSANS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MARSONS,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
MARUTI,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
MASFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MASTEK,Information Technology,IT - Software,Computers - Software & Consulting
MASTERTR,Financial Services,Capital Markets,Stockbroking & Allied
MATRIMONY,Consumer Services,Retailing,Internet & Catalogue Retail
MAWANASUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
MAXESTATES,Realty,Realty,"Residential, Commercial Projects"
MAXGROW,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MAXHEALTH,Healthcare,Healthcare Services,Hospital
MAXHEIGHTS,Realty,Realty,"Residential, Commercial Projects"
MAXIMUS,Services,Commercial Services & Supplies,Trading & Distributors
MAXIND,Financial Services,Finance,Holding Company
MAYUR,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MAYURFL,Construction Materials,Other Construction Materials,Other Construction Materials
MAYURUNIQ,Consumer Durables,Consumer Durables,Leather And Leather Products
MAZDA,Capital Goods,Industrial Manufacturing,Industrial Products
MAZDOCK,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
MBEL,Construction,Construction,Civil Construction
MBLINFRA,Construction,Construction,Civil Construction
MCCHRLS-B,Consumer Services,Leisure Services,Hotels & Resorts
MCFL,Fast Moving Consumer Goods,Food Products,Animal Feed
MCLEODRUSS,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
MCLOUD,Information Technology,IT - Software,Computers - Software & Consulting
MCLTD,Financial Services,Finance,Other Financial Services
MCPL,Consumer Durables,Consumer Durables,Ceramics
MCX,Financial Services,Capital Markets,Exchange and Data Platform
MDRC,Healthcare,Healthcare Services,Healthcare Service Provider
MDRNSTL,Capital Goods,Industrial Products,Iron & Steel Products
MEAPL,Construction,Construction,Civil Construction
MEDANTA,Healthcare,Healthcare Services,Hospital
MEDIAONE,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
MEDIASSIST,Financial Services,Insurance,Insurance Distributors
MEDICAMEQ,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MEDICAPQ,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MEDICO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MEDPLUS,Consumer Services,Retailing,Pharmacy Retail
MEENST,Capital Goods,Industrial Products,Iron & Steel Products
MEERA,Capital Goods,Industrial Manufacturing,Industrial Products
MEESHO,Consumer Services,Retailing,E-Retail/ E-Commerce
MEFCOMCAP,Financial Services,Capital Markets,Other Capital Market related Services
MEGACOR,Financial Services,Finance,Non Banking Financial Company (NBFC)
MEGAMONT,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
MEGASTAR,Fast Moving Consumer Goods,Food Products,Other Food Products
MEGRISOFT,Services,Commercial Services & Supplies,Data Processing Services
MEHAI,Services,Commercial Services & Supplies,Trading & Distributors
MEHIF,Financial Services,Finance,Non Banking Financial Company (NBFC)
MEHSECU,Financial Services,Finance,Other Financial Services
MEHUL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
MEIL,Capital Goods,Electrical Equipment,Other Electrical Equipment
MENAMANI,Financial Services,Finance,Non Banking Financial Company (NBFC)
MENNPIS,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MENONBE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MEP,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
MERCANTILE,Services,Commercial Services & Supplies,Diversified Commercial Services
MERCTRD,Services,Commercial Services & Supplies,Diversified Commercial Services
MERCURYEV,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
MERCURYLAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
META,Information Technology,IT - Services,IT Enabled Services
METAINFO,Information Technology,IT - Services,IT Enabled Services
METALCO,Capital Goods,Industrial Products,Iron & Steel Products
METHODHUB,Information Technology,IT - Software,Computers - Software & Consulting
METROBRAND,Consumer Durables,Consumer Durables,Footwear
METROGLOBL,Services,Commercial Services & Supplies,Trading & Distributors
METROPOLIS,Healthcare,Healthcare Services,Healthcare Service Provider
METSL,Capital Goods,Industrial Manufacturing,Industrial Products
MFLINDIA,Services,Transport Services,Logistics Solution Provider
MFML,Textiles,Textiles & Apparels,Other Textile Products
MFSINTRCRP,Capital Goods,Industrial Products,Iron & Steel Products
MFSL,Financial Services,Insurance,Life Insurance
MGEL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MGIL,Financial Services,Finance,Non Banking Financial Company (NBFC)
MGL,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
MHEL,Construction,Construction,Civil Construction
MHLXMIRU,Textiles,Textiles & Apparels,Other Textile Products
MHRIL,Consumer Services,Leisure Services,Hotels & Resorts
MHSGRMS,Services,Transport Services,Road Transport
MICEL,Capital Goods,Industrial Products,Other Industrial Products
MICROSE,Financial Services,Finance,Non Banking Financial Company (NBFC)
MIDEASTP,Financial Services,Finance,Other Financial Services
MIDHANI,Capital Goods,Aerospace & Defense,Aerospace & Defense
MIDINDIA,Textiles,Textiles & Apparels,Other Textile Products
MIDPOLY,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
MIDWESTLTD,Consumer Durables,Consumer Durables,Granites & Marbles
MIHIKA,Services,Commercial Services & Supplies,Trading & Distributors
MIIL,Realty,Realty,"Residential, Commercial Projects"
MIL,Services,Commercial Services & Supplies,Trading & Distributors
MILEFUR,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
MILESTONE,Construction Materials,Other Construction Materials,Other Construction Materials
MILLENNIUM,Services,Commercial Services & Supplies,Diversified Commercial Services
MILLWORKS,Capital Goods,Aerospace & Defense,Aerospace & Defense
MINALIND,Services,Commercial Services & Supplies,Trading & Distributors
MINAXI,Textiles,Textiles & Apparels,Other Textile Products
MINDACORP,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MINDTECK,Information Technology,IT - Software,Computers - Software & Consulting
MINID,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MINOLTAF,Financial Services,Finance,Non Banking Financial Company (NBFC)
MIRZAINT,Consumer Durables,Consumer Durables,Leather And Leather Products
MISHDESIGN,Textiles,Textiles & Apparels,Garments & Apparels
MISHKA,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MISHTANN,Fast Moving Consumer Goods,Food Products,Packaged Foods
MISQUITA,Capital Goods,Industrial Manufacturing,Industrial Products
MITSHI,Services,Commercial Services & Supplies,Trading & Distributors
MITSU,Capital Goods,Industrial Products,Packaging
MITTALSTL,Capital Goods,Industrial Products,Iron & Steel Products
MIVENMACH,Capital Goods,Industrial Manufacturing,Industrial Products
MIZVEN,Services,Commercial Services & Supplies,Diversified Commercial Services
MKEXIM,Consumer Services,Retailing,Distributors
MKPL,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
MKPMOB,Textiles,Textiles & Apparels,Other Textile Products
MKTCREAT,Financial Services,Finance,Other Financial Services
MKVENTURES,Financial Services,Finance,Investment Company
MLINDLTD,Services,Commercial Services & Supplies,Trading & Distributors
MLKFOOD,Fast Moving Consumer Goods,Food Products,Dairy Products
MMFL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MMLF,Financial Services,Finance,Non Banking Financial Company (NBFC)
MMRUBBR-B,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
MMTC,Services,Commercial Services & Supplies,Trading & Distributors
MMWL,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
MNFL,Fast Moving Consumer Goods,Food Products,Other Food Products
MNIL,Realty,Realty,"Residential, Commercial Projects"
MNPLFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MOBAVENUE,Information Technology,IT - Software,Software Products
MOBIKWIK,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
MODAIRY,Fast Moving Consumer Goods,Food Products,Dairy Products
MODINATUR,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MODINSU,Capital Goods,Electrical Equipment,Other Electrical Equipment
MODIPON,Realty,Realty,"Residential, Commercial Projects"
MODIRUBBER,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
MODIS,Realty,Realty,"Residential, Commercial Projects"
MODISONLTD,Capital Goods,Electrical Equipment,Other Electrical Equipment
MODMA,Capital Goods,Industrial Products,Iron & Steel Products
MODRNSH,Financial Services,Finance,Other Financial Services
MODTHREAD,Textiles,Textiles & Apparels,Other Textile Products
MODULEX,Construction,Construction,Civil Construction
MODWOOL,Services,Commercial Services & Supplies,Trading & Distributors
MOHITE,Textiles,Textiles & Apparels,Other Textile Products
MOHITIND,Textiles,Textiles & Apparels,Other Textile Products
MOHITPPR,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
MOIL,Metals & Mining,Minerals & Mining,Industrial Minerals
MOL,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
MOLDTECH,Construction,Construction,Civil Construction
MOLDTKPAC,Capital Goods,Industrial Products,Packaging
MOM100,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
MOM50,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
MONARCH,Financial Services,Capital Markets,Stockbroking & Allied
MONEYBOXX,Financial Services,Finance,Non Banking Financial Company (NBFC)
MONGIPA,Financial Services,Finance,Non Banking Financial Company (NBFC)
MONIKA,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
MONIND,Capital Goods,Industrial Products,Iron & Steel Products
MONOT,Services,Commercial Services & Supplies,Diversified Commercial Services
MONTECARLO,Textiles,Textiles & Apparels,Garments & Apparels
MORARKFI,Financial Services,Finance,Non Banking Financial Company (NBFC)
MOREPENLAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MORGAN,Financial Services,Finance,Non Banking Financial Company (NBFC)
MOSCHIP,Information Technology,IT - Hardware,Computers Hardware & Equipments
MOTHERSON,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MOTILALOFS,Financial Services,Capital Markets,Stockbroking & Allied
MOTISONS,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MOTOGENFIN,Services,Commercial Services & Supplies,Diversified Commercial Services
MOUNT,Realty,Realty,"Residential, Commercial Projects"
MPAGI,Chemicals,Fertilizers & Agrochemicals,Fertilizers
MPCOSEMB,Capital Goods,Industrial Manufacturing,Industrial Products
MPDL,Realty,Realty,"Residential, Commercial Projects"
MPFSL,Services,Commercial Services & Supplies,Diversified Commercial Services
MPHASIS,Information Technology,IT - Software,Computers - Software & Consulting
MPILCORPL,Financial Services,Finance,Other Financial Services
MPKSTEELS,Capital Goods,Industrial Products,Iron & Steel Products
MPL,Capital Goods,Industrial Products,Packaging
MPSLTD,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
MRCAGRO,Services,Commercial Services & Supplies,Trading & Distributors
MRF,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
MRP,Consumer Services,Retailing,Distributors
MRPL,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
MRTX,Capital Goods,Industrial Manufacturing,Industrial Products
MRUTR,Financial Services,Finance,Non Banking Financial Company (NBFC)
MSAFE,Metals & Mining,Non - Ferrous Metals,Aluminium
MSCTC,Metals & Mining,Non - Ferrous Metals,Copper
MSECL,Services,Commercial Services & Supplies,Consulting Services
MSL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MSLGLOBAL,Financial Services,Finance,Non Banking Financial Company (NBFC)
MSPL,Capital Goods,Industrial Products,Iron & Steel Products
MSTCLTD,Services,Commercial Services & Supplies,Trading & Distributors
MSUMI,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MTARTECH,Capital Goods,Electrical Equipment,Other Electrical Equipment
MTEDUCARE,Consumer Services,Other Consumer Services,Education
